"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Sun Sep 01 08:05:09 GMT 2024","Sun Sep 01 08:05:12 GMT 2024","2277","tests","Alerts, Frames and Windows page","TestAlertsFrameWindows","","","Click modal and check its content",""
"passed","Sun Sep 01 08:05:04 GMT 2024","Sun Sep 01 08:05:05 GMT 2024","1562","tests","Alerts, Frames and Windows page","TestAlertsFrameWindows","","","Check frame and its content",""
"passed","Sun Sep 01 08:04:54 GMT 2024","Sun Sep 01 08:04:56 GMT 2024","1768","tests","Alerts, Frames and Windows page","TestAlertsFrameWindows","","","Send text value to alert",""
"passed","Sun Sep 01 08:04:36 GMT 2024","Sun Sep 01 08:04:37 GMT 2024","1492","tests","Alerts, Frames and Windows page","TestAlertsFrameWindows","","","Open new tab or window",""
"passed","Sun Sep 01 08:04:49 GMT 2024","Sun Sep 01 08:04:51 GMT 2024","2277","tests","Alerts, Frames and Windows page","TestAlertsFrameWindows","","","Confirm alert",""
"passed","Sun Sep 01 08:05:07 GMT 2024","Sun Sep 01 08:05:09 GMT 2024","1490","tests","Alerts, Frames and Windows page","TestAlertsFrameWindows","","","Check parent and child frames and their content",""
"passed","Sun Sep 01 08:05:02 GMT 2024","Sun Sep 01 08:05:03 GMT 2024","1720","tests","Alerts, Frames and Windows page","TestAlertsFrameWindows","","","Send text value to alert",""
"failed","Sun Sep 01 08:05:12 GMT 2024","Sun Sep 01 08:05:14 GMT 2024","2415","tests","Alerts, Frames and Windows page","TestAlertsFrameWindows","","","Click modal and check its content",""
"passed","Sun Sep 01 08:04:56 GMT 2024","Sun Sep 01 08:04:59 GMT 2024","2405","tests","Alerts, Frames and Windows page","TestAlertsFrameWindows","","","Send text value to alert",""
"passed","Sun Sep 01 08:04:59 GMT 2024","Sun Sep 01 08:05:01 GMT 2024","2283","tests","Alerts, Frames and Windows page","TestAlertsFrameWindows","","","Send text value to alert",""
"passed","Sun Sep 01 08:04:38 GMT 2024","Sun Sep 01 08:04:40 GMT 2024","2223","tests","Alerts, Frames and Windows page","TestAlertsFrameWindows","","","Click simple alert",""
"passed","Sun Sep 01 08:05:06 GMT 2024","Sun Sep 01 08:05:07 GMT 2024","1243","tests","Alerts, Frames and Windows page","TestAlertsFrameWindows","","","Check frame and its content",""
"passed","Sun Sep 01 08:04:40 GMT 2024","Sun Sep 01 08:04:49 GMT 2024","8225","tests","Alerts, Frames and Windows page","TestAlertsFrameWindows","","","Click alert that appears after 5 seconds",""
"passed","Sun Sep 01 08:04:52 GMT 2024","Sun Sep 01 08:04:54 GMT 2024","1806","tests","Alerts, Frames and Windows page","TestAlertsFrameWindows","","","Dismiss alert",""
"passed","Sun Sep 01 08:04:33 GMT 2024","Sun Sep 01 08:04:35 GMT 2024","2564","tests","Alerts, Frames and Windows page","TestAlertsFrameWindows","","","Open new tab or window",""
