"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Sep 01 13:23:00 GMT 2024","Sun Sep 01 13:23:03 GMT 2024","2787","tests","Elements page","TestElements","","","Click simple link which opens in new tab",""
"passed","Sun Sep 01 13:23:25 GMT 2024","Sun Sep 01 13:23:27 GMT 2024","2502","tests","Elements page","TestElements","","","Click broken links with not 200 OK response",""
"passed","Sun Sep 01 13:22:51 GMT 2024","Sun Sep 01 13:22:54 GMT 2024","2580","tests","Elements page","TestElements","","","Perform double click",""
"passed","Sun Sep 01 13:23:03 GMT 2024","Sun Sep 01 13:23:08 GMT 2024","4638","tests","Elements page","TestElements","","","Click broken links with not 200 OK response",""
"passed","Sun Sep 01 13:23:17 GMT 2024","Sun Sep 01 13:23:19 GMT 2024","1381","tests","Elements page","TestElements","","","Click broken links with not 200 OK response",""
"passed","Sun Sep 01 13:20:33 GMT 2024","Sun Sep 01 13:22:51 GMT 2024","137206","tests","Elements page","TestElements","","","Change amount of rows per page on web table page",""
"passed","Sun Sep 01 13:20:18 GMT 2024","Sun Sep 01 13:20:26 GMT 2024","7393","tests","Elements page","TestElements","","","Add new person and search for it in web table",""
"passed","Sun Sep 01 13:23:32 GMT 2024","Sun Sep 01 13:23:35 GMT 2024","2296","tests","Elements page","TestElements","","","Click button that is clickable after 5 seconds",""
"passed","Sun Sep 01 13:20:01 GMT 2024","Sun Sep 01 13:20:03 GMT 2024","1724","tests","Elements page","TestElements","","","Click radio buttons",""
"passed","Sun Sep 01 13:19:57 GMT 2024","Sun Sep 01 13:20:00 GMT 2024","3482","tests","Elements page","TestElements","","","Enable random check boxes",""
"failed","Sun Sep 01 13:23:35 GMT 2024","Sun Sep 01 13:23:57 GMT 2024","22485","tests","Elements page","TestElements","","","Check color of button whose color is changed after 5 seconds",""
"passed","Sun Sep 01 13:23:22 GMT 2024","Sun Sep 01 13:23:24 GMT 2024","2419","tests","Elements page","TestElements","","","Click broken links with not 200 OK response",""
"passed","Sun Sep 01 13:20:31 GMT 2024","Sun Sep 01 13:20:33 GMT 2024","2330","tests","Elements page","TestElements","","","Add new person and delete it from web table",""
"passed","Sun Sep 01 13:23:08 GMT 2024","Sun Sep 01 13:23:15 GMT 2024","6684","tests","Elements page","TestElements","","","Click broken links with not 200 OK response",""
"passed","Sun Sep 01 13:23:19 GMT 2024","Sun Sep 01 13:23:21 GMT 2024","2493","tests","Elements page","TestElements","","","Click broken links with not 200 OK response",""
"passed","Sun Sep 01 13:23:28 GMT 2024","Sun Sep 01 13:23:29 GMT 2024","1399","tests","Elements page","TestElements","","","Success file upload",""
"passed","Sun Sep 01 13:19:53 GMT 2024","Sun Sep 01 13:19:57 GMT 2024","3598","tests","Elements page","TestElements","","","Fill text box fields",""
"passed","Sun Sep 01 13:20:26 GMT 2024","Sun Sep 01 13:20:30 GMT 2024","4214","tests","Elements page","TestElements","","","Add new person and update it in web table",""
"passed","Sun Sep 01 13:20:03 GMT 2024","Sun Sep 01 13:20:05 GMT 2024","2360","tests","Elements page","TestElements","","","Click radio buttons",""
"passed","Sun Sep 01 13:22:54 GMT 2024","Sun Sep 01 13:22:56 GMT 2024","2508","tests","Elements page","TestElements","","","Perform right click",""
"passed","Sun Sep 01 13:23:15 GMT 2024","Sun Sep 01 13:23:17 GMT 2024","1683","tests","Elements page","TestElements","","","Click broken links with not 200 OK response",""
"passed","Sun Sep 01 13:23:58 GMT 2024","Sun Sep 01 13:24:04 GMT 2024","6335","tests","Elements page","TestElements","","","Click button that is visible after 5 seconds",""
"passed","Sun Sep 01 13:22:57 GMT 2024","Sun Sep 01 13:22:59 GMT 2024","2424","tests","Elements page","TestElements","","","Perform dynamic click",""
"passed","Sun Sep 01 13:23:29 GMT 2024","Sun Sep 01 13:23:32 GMT 2024","2345","tests","Elements page","TestElements","","","Success file download",""
"passed","Sun Sep 01 13:20:06 GMT 2024","Sun Sep 01 13:20:18 GMT 2024","11957","tests","Elements page","TestElements","","","Add new person to web table",""
