"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sat Aug 31 20:04:05 GMT 2024","Sat Aug 31 20:04:08 GMT 2024","2447","tests","Elements page","TestElements","","","Success file download",""
"passed","Sat Aug 31 20:06:08 GMT 2024","Sat Aug 31 20:06:19 GMT 2024","11375","tests","Widgets","TestWidgets","","","Enter single color",""
"passed","Sat Aug 31 20:05:55 GMT 2024","Sat Aug 31 20:05:58 GMT 2024","2825","tests","Widgets","TestWidgets","","","Click accordian and check its content",""
"passed","Sat Aug 31 20:06:51 GMT 2024","Sat Aug 31 20:07:26 GMT 2024","34208","tests","Widgets","TestWidgets","","","Click tabs and check their content",""
"passed","Sat Aug 31 20:04:26 GMT 2024","Sat Aug 31 20:04:29 GMT 2024","3038","tests","Interactions","TestInteractions","","","Change and check elements order",""
"passed","Sat Aug 31 20:04:03 GMT 2024","Sat Aug 31 20:04:05 GMT 2024","2395","tests","Elements page","TestElements","","","Success file upload",""
"broken","Sat Aug 31 20:05:44 GMT 2024","Sat Aug 31 20:05:49 GMT 2024","4994","tests","Practice form page","TestPracticeForm","","","Fill all fields",""
"passed","Sat Aug 31 20:07:54 GMT 2024","Sat Aug 31 20:07:57 GMT 2024","3646","tests","Widgets","TestWidgets","","","Hover tooltips and check their content",""
"passed","Sat Aug 31 20:02:55 GMT 2024","Sat Aug 31 20:02:58 GMT 2024","2803","tests","Elements page","TestElements","","","Fill text box fields",""
"passed","Sat Aug 31 20:05:01 GMT 2024","Sat Aug 31 20:05:04 GMT 2024","3167","tests","Interactions","TestInteractions","","","Check prevent propagation properties of element",""
"passed","Sat Aug 31 20:04:29 GMT 2024","Sat Aug 31 20:04:32 GMT 2024","2482","tests","Interactions","TestInteractions","","","Change and check elements order",""
"passed","Sat Aug 31 20:02:02 GMT 2024","Sat Aug 31 20:02:05 GMT 2024","2506","tests","Alerts, Frames and Windows page","TestAlertsFrameWindows","","","Confirm alert",""
"passed","Sat Aug 31 20:04:58 GMT 2024","Sat Aug 31 20:05:01 GMT 2024","2341","tests","Interactions","TestInteractions","","","Check acceptability of element",""
"passed","Sat Aug 31 20:03:05 GMT 2024","Sat Aug 31 20:03:07 GMT 2024","2244","tests","Elements page","TestElements","","","Click radio buttons",""
"passed","Sat Aug 31 20:02:42 GMT 2024","Sat Aug 31 20:02:49 GMT 2024","6583","tests","Alerts, Frames and Windows page","TestAlertsFrameWindows","","","Check parent and child frames and their content",""
"passed","Sat Aug 31 20:03:57 GMT 2024","Sat Aug 31 20:04:00 GMT 2024","2521","tests","Elements page","TestElements","","","Click broken links with not 200 OK response",""
"passed","Sat Aug 31 20:02:15 GMT 2024","Sat Aug 31 20:02:18 GMT 2024","2373","tests","Alerts, Frames and Windows page","TestAlertsFrameWindows","","","Send text value to alert",""
"passed","Sat Aug 31 20:03:24 GMT 2024","Sat Aug 31 20:03:27 GMT 2024","2793","tests","Elements page","TestElements","","","Change amount of rows per page on web table page",""
"passed","Sat Aug 31 20:01:53 GMT 2024","Sat Aug 31 20:02:02 GMT 2024","8551","tests","Alerts, Frames and Windows page","TestAlertsFrameWindows","","","Click alert that appears after 5 seconds",""
"passed","Sat Aug 31 20:03:07 GMT 2024","Sat Aug 31 20:03:11 GMT 2024","3480","tests","Elements page","TestElements","","","Add new person to web table",""
"passed","Sat Aug 31 20:02:18 GMT 2024","Sat Aug 31 20:02:35 GMT 2024","16617","tests","Alerts, Frames and Windows page","TestAlertsFrameWindows","","","Send text value to alert",""
"passed","Sat Aug 31 20:05:58 GMT 2024","Sat Aug 31 20:06:01 GMT 2024","3004","tests","Widgets","TestWidgets","","","Click accordian and check its content",""
"passed","Sat Aug 31 20:06:23 GMT 2024","Sat Aug 31 20:06:39 GMT 2024","16542","tests","Widgets","TestWidgets","","","Set date and time via web calender widget",""
"passed","Sat Aug 31 20:02:35 GMT 2024","Sat Aug 31 20:02:37 GMT 2024","1533","tests","Alerts, Frames and Windows page","TestAlertsFrameWindows","","","Send text value to alert",""
"passed","Sat Aug 31 20:02:05 GMT 2024","Sat Aug 31 20:02:08 GMT 2024","2516","tests","Alerts, Frames and Windows page","TestAlertsFrameWindows","","","Dismiss alert",""
"passed","Sat Aug 31 20:07:26 GMT 2024","Sat Aug 31 20:07:28 GMT 2024","1684","tests","Widgets","TestWidgets","","","Click tabs and check their content",""
"passed","Sat Aug 31 20:06:40 GMT 2024","Sat Aug 31 20:06:42 GMT 2024","2478","tests","Widgets","TestWidgets","","","Move slider",""
"passed","Sat Aug 31 20:05:05 GMT 2024","Sat Aug 31 20:05:14 GMT 2024","9177","tests","Interactions","TestInteractions","","","Check revert properties of will-revert-element",""
"passed","Sat Aug 31 20:04:39 GMT 2024","Sat Aug 31 20:04:42 GMT 2024","3563","tests","Interactions","TestInteractions","","","Resize elements and check their sizes",""
"passed","Sat Aug 31 20:01:33 GMT 2024","Sat Aug 31 20:01:36 GMT 2024","2750","tests","Alerts, Frames and Windows page","TestAlertsFrameWindows","","","Open new tab or window",""
"passed","Sat Aug 31 20:04:00 GMT 2024","Sat Aug 31 20:04:02 GMT 2024","1721","tests","Elements page","TestElements","","","Click broken links with not 200 OK response",""
"passed","Sat Aug 31 20:03:11 GMT 2024","Sat Aug 31 20:03:14 GMT 2024","2778","tests","Elements page","TestElements","","","Add new person and search for it in web table",""
"passed","Sat Aug 31 20:02:08 GMT 2024","Sat Aug 31 20:02:15 GMT 2024","6693","tests","Alerts, Frames and Windows page","TestAlertsFrameWindows","","","Send text value to alert",""
"passed","Sat Aug 31 20:01:30 GMT 2024","Sat Aug 31 20:01:33 GMT 2024","2941","tests","Alerts, Frames and Windows page","TestAlertsFrameWindows","","","Open new tab or window",""
"passed","Sat Aug 31 20:06:43 GMT 2024","Sat Aug 31 20:06:51 GMT 2024","8369","tests","Widgets","TestWidgets","","","Click and stop progress bar",""
"passed","Sat Aug 31 20:03:44 GMT 2024","Sat Aug 31 20:03:46 GMT 2024","1798","tests","Elements page","TestElements","","","Click broken links with not 200 OK response",""
"passed","Sat Aug 31 20:04:11 GMT 2024","Sat Aug 31 20:04:19 GMT 2024","8385","tests","Elements page","TestElements","","","Check color of button whose color is changed after 5 seconds",""
