"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sat Aug 31 10:54:22 GMT 2024","Sat Aug 31 10:54:25 GMT 2024","2891","tests","Elements page","TestElements","","","Add new person to web table",""
"passed","Sat Aug 31 10:55:38 GMT 2024","Sat Aug 31 10:55:45 GMT 2024","6503","tests","Elements page","TestElements","","","Click button that is visible after 5 seconds",""
"passed","Sat Aug 31 10:54:30 GMT 2024","Sat Aug 31 10:54:34 GMT 2024","3699","tests","Elements page","TestElements","","","Add new person and update it in web table",""
"passed","Sat Aug 31 10:54:38 GMT 2024","Sat Aug 31 10:54:42 GMT 2024","3729","tests","Elements page","TestElements","","","Change amount of rows per page on web table page",""
"passed","Sat Aug 31 10:54:26 GMT 2024","Sat Aug 31 10:54:30 GMT 2024","4025","tests","Elements page","TestElements","","","Add new person and search for it in web table",""
"passed","Sat Aug 31 10:54:42 GMT 2024","Sat Aug 31 10:54:45 GMT 2024","2444","tests","Elements page","TestElements","","","Perform double click",""
"passed","Sat Aug 31 10:54:34 GMT 2024","Sat Aug 31 10:54:38 GMT 2024","3261","tests","Elements page","TestElements","","","Add new person and delete it from web table",""
"passed","Sat Aug 31 10:54:53 GMT 2024","Sat Aug 31 10:54:58 GMT 2024","4914","tests","Elements page","TestElements","","","Click simple link which opens in new tab",""
"passed","Sat Aug 31 10:54:15 GMT 2024","Sat Aug 31 10:54:18 GMT 2024","2636","tests","Elements page","TestElements","","","Click radio buttons",""
"passed","Sat Aug 31 10:55:27 GMT 2024","Sat Aug 31 10:55:29 GMT 2024","2242","tests","Elements page","TestElements","","","Click button that is clickable after 5 seconds",""
"passed","Sat Aug 31 10:55:30 GMT 2024","Sat Aug 31 10:55:38 GMT 2024","8026","tests","Elements page","TestElements","","","Check color of button whose color is changed after 5 seconds",""
"passed","Sat Aug 31 10:55:14 GMT 2024","Sat Aug 31 10:55:18 GMT 2024","3632","tests","Elements page","TestElements","","","Click broken links with not 200 OK response",""
"passed","Sat Aug 31 10:55:25 GMT 2024","Sat Aug 31 10:55:27 GMT 2024","1908","tests","Elements page","TestElements","","","Success file download",""
"passed","Sat Aug 31 10:55:04 GMT 2024","Sat Aug 31 10:55:07 GMT 2024","3721","tests","Elements page","TestElements","","","Click broken links with not 200 OK response",""
"passed","Sat Aug 31 10:54:45 GMT 2024","Sat Aug 31 10:54:49 GMT 2024","3471","tests","Elements page","TestElements","","","Perform right click",""
"passed","Sat Aug 31 10:55:08 GMT 2024","Sat Aug 31 10:55:11 GMT 2024","3499","tests","Elements page","TestElements","","","Click broken links with not 200 OK response",""
"passed","Sat Aug 31 10:55:12 GMT 2024","Sat Aug 31 10:55:14 GMT 2024","2247","tests","Elements page","TestElements","","","Click broken links with not 200 OK response",""
"passed","Sat Aug 31 10:55:18 GMT 2024","Sat Aug 31 10:55:22 GMT 2024","3476","tests","Elements page","TestElements","","","Click broken links with not 200 OK response",""
"passed","Sat Aug 31 10:54:11 GMT 2024","Sat Aug 31 10:54:15 GMT 2024","3988","tests","Elements page","TestElements","","","Enable random check boxes",""
"passed","Sat Aug 31 10:54:58 GMT 2024","Sat Aug 31 10:55:00 GMT 2024","2325","tests","Elements page","TestElements","","","Click broken links with not 200 OK response",""
"passed","Sat Aug 31 10:54:07 GMT 2024","Sat Aug 31 10:54:10 GMT 2024","3114","tests","Elements page","TestElements","","","Fill text box fields",""
"passed","Sat Aug 31 10:54:18 GMT 2024","Sat Aug 31 10:54:22 GMT 2024","3451","tests","Elements page","TestElements","","","Click radio buttons",""
"passed","Sat Aug 31 10:55:22 GMT 2024","Sat Aug 31 10:55:24 GMT 2024","2131","tests","Elements page","TestElements","","","Success file upload",""
"passed","Sat Aug 31 10:54:49 GMT 2024","Sat Aug 31 10:54:52 GMT 2024","3128","tests","Elements page","TestElements","","","Perform dynamic click",""
"passed","Sat Aug 31 10:55:01 GMT 2024","Sat Aug 31 10:55:03 GMT 2024","1998","tests","Elements page","TestElements","","","Click broken links with not 200 OK response",""
