"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Sat Aug 31 10:31:47 GMT 2024","Sat Aug 31 10:31:47 GMT 2024","0","tests","Elements page","TestElements","","","test_click_radio_buttons[impressive-Impressive]",""
"broken","Sat Aug 31 10:31:49 GMT 2024","Sat Aug 31 10:31:49 GMT 2024","0","tests","Elements page","TestElements","","","test_right_click",""
"broken","Sat Aug 31 10:31:52 GMT 2024","Sat Aug 31 10:31:52 GMT 2024","0","tests","Elements page","TestElements","","","test_broken_link[bad_request-400]",""
"broken","Sat Aug 31 10:31:50 GMT 2024","Sat Aug 31 10:31:50 GMT 2024","0","tests","Elements page","TestElements","","","test_single_click",""
"broken","Sat Aug 31 10:31:46 GMT 2024","Sat Aug 31 10:31:46 GMT 2024","0","tests","Elements page","TestElements","","","test_enable_check_boxes",""
"broken","Sat Aug 31 10:31:51 GMT 2024","Sat Aug 31 10:31:51 GMT 2024","0","tests","Elements page","TestElements","","","test_broken_link[no_content-204]",""
"broken","Sat Aug 31 10:31:54 GMT 2024","Sat Aug 31 10:31:54 GMT 2024","0","tests","Elements page","TestElements","","","test_download_file_success",""
"broken","Sat Aug 31 10:31:51 GMT 2024","Sat Aug 31 10:31:51 GMT 2024","0","tests","Elements page","TestElements","","","test_broken_link[moved-301]",""
"broken","Sat Aug 31 10:31:55 GMT 2024","Sat Aug 31 10:31:55 GMT 2024","0","tests","Elements page","TestElements","","","test_visible_after_5_seconds_button",""
"broken","Sat Aug 31 10:31:47 GMT 2024","Sat Aug 31 10:31:47 GMT 2024","0","tests","Elements page","TestElements","","","test_web_table_add_person",""
"broken","Sat Aug 31 10:31:46 GMT 2024","Sat Aug 31 10:31:46 GMT 2024","0","tests","Elements page","TestElements","","","test_click_radio_buttons[yes-Yes]",""
"broken","Sat Aug 31 10:31:53 GMT 2024","Sat Aug 31 10:31:53 GMT 2024","0","tests","Elements page","TestElements","","","test_broken_link[not_found-404]",""
"broken","Sat Aug 31 10:31:47 GMT 2024","Sat Aug 31 10:31:47 GMT 2024","0","tests","Elements page","TestElements","","","test_web_table_search_person",""
"broken","Sat Aug 31 10:31:48 GMT 2024","Sat Aug 31 10:31:48 GMT 2024","0","tests","Elements page","TestElements","","","test_web_table_delete_person",""
"broken","Sat Aug 31 10:31:49 GMT 2024","Sat Aug 31 10:31:49 GMT 2024","0","tests","Elements page","TestElements","","","test_web_table_change_rows_per_page",""
"broken","Sat Aug 31 10:31:50 GMT 2024","Sat Aug 31 10:31:50 GMT 2024","0","tests","Elements page","TestElements","","","test_simple_link",""
"broken","Sat Aug 31 10:31:53 GMT 2024","Sat Aug 31 10:31:53 GMT 2024","0","tests","Elements page","TestElements","","","test_broken_link[forbidden-403]",""
"broken","Sat Aug 31 10:31:54 GMT 2024","Sat Aug 31 10:31:54 GMT 2024","0","tests","Elements page","TestElements","","","test_enabled_after_5_seconds_button",""
"broken","Sat Aug 31 10:31:49 GMT 2024","Sat Aug 31 10:31:49 GMT 2024","0","tests","Elements page","TestElements","","","test_double_click",""
"broken","Sat Aug 31 10:31:52 GMT 2024","Sat Aug 31 10:31:52 GMT 2024","0","tests","Elements page","TestElements","","","test_broken_link[unauthorized-401]",""
"broken","Sat Aug 31 10:31:48 GMT 2024","Sat Aug 31 10:31:48 GMT 2024","0","tests","Elements page","TestElements","","","test_web_table_update_person_info",""
"broken","Sat Aug 31 10:31:45 GMT 2024","Sat Aug 31 10:31:45 GMT 2024","0","tests","Elements page","TestElements","","","test_fill_text_boxes",""
"broken","Sat Aug 31 10:31:51 GMT 2024","Sat Aug 31 10:31:51 GMT 2024","0","tests","Elements page","TestElements","","","test_broken_link[created-201]",""
"broken","Sat Aug 31 10:31:55 GMT 2024","Sat Aug 31 10:31:55 GMT 2024","0","tests","Elements page","TestElements","","","test_color_change_button",""
"broken","Sat Aug 31 10:31:54 GMT 2024","Sat Aug 31 10:31:54 GMT 2024","0","tests","Elements page","TestElements","","","test_upload_file_success",""
