"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Sep 01 10:32:11 GMT 2024","Sun Sep 01 10:32:14 GMT 2024","2708","tests","Alerts, Frames and Windows page","TestAlertsFrameWindows","","","Open new tab or window",""
"passed","Sun Sep 01 10:32:43 GMT 2024","Sun Sep 01 10:32:45 GMT 2024","2244","tests","Alerts, Frames and Windows page","TestAlertsFrameWindows","","","Check frame and its content",""
"passed","Sun Sep 01 10:34:35 GMT 2024","Sun Sep 01 10:34:39 GMT 2024","3327","tests","Interactions","TestInteractions","","","Resize elements and check their sizes",""
"passed","Sun Sep 01 10:33:05 GMT 2024","Sun Sep 01 10:33:08 GMT 2024","2291","tests","Elements page","TestElements","","","Click radio buttons",""
"passed","Sun Sep 01 10:36:23 GMT 2024","Sun Sep 01 10:36:25 GMT 2024","2433","tests","Widgets","TestWidgets","","","Click tabs and check their content",""
"passed","Sun Sep 01 10:33:20 GMT 2024","Sun Sep 01 10:33:23 GMT 2024","3160","tests","Elements page","TestElements","","","Add new person and delete it from web table",""
"passed","Sun Sep 01 10:35:50 GMT 2024","Sun Sep 01 10:35:53 GMT 2024","3019","tests","Widgets","TestWidgets","","","Click accordian and check its content which contains several paragraphs",""
"passed","Sun Sep 01 10:33:47 GMT 2024","Sun Sep 01 10:33:50 GMT 2024","2744","tests","Elements page","TestElements","","","Click broken links with not 200 OK response",""
"passed","Sun Sep 01 10:34:46 GMT 2024","Sun Sep 01 10:34:50 GMT 2024","3709","tests","Interactions","TestInteractions","","","Check acceptability of element",""
"failed","Sun Sep 01 10:35:08 GMT 2024","Sun Sep 01 10:35:16 GMT 2024","7494","tests","Interactions","TestInteractions","","","Drag simple element",""
"passed","Sun Sep 01 10:33:53 GMT 2024","Sun Sep 01 10:33:55 GMT 2024","1740","tests","Elements page","TestElements","","","Click broken links with not 200 OK response",""
"passed","Sun Sep 01 10:35:16 GMT 2024","Sun Sep 01 10:35:26 GMT 2024","10111","tests","Interactions","TestInteractions","","","Drag x restricted element",""
"passed","Sun Sep 01 10:34:51 GMT 2024","Sun Sep 01 10:34:54 GMT 2024","3524","tests","Interactions","TestInteractions","","","Check acceptability of element",""
"passed","Sun Sep 01 10:35:27 GMT 2024","Sun Sep 01 10:35:34 GMT 2024","6934","tests","Interactions","TestInteractions","","","Drag y restricted element",""
"passed","Sun Sep 01 10:35:46 GMT 2024","Sun Sep 01 10:35:49 GMT 2024","2879","tests","Widgets","TestWidgets","","","Click accordian and check its content",""
"passed","Sun Sep 01 10:32:08 GMT 2024","Sun Sep 01 10:32:10 GMT 2024","2859","tests","Alerts, Frames and Windows page","TestAlertsFrameWindows","","","Open new tab or window",""
"passed","Sun Sep 01 10:32:40 GMT 2024","Sun Sep 01 10:32:42 GMT 2024","2454","tests","Alerts, Frames and Windows page","TestAlertsFrameWindows","","","Send text value to alert",""
"passed","Sun Sep 01 10:34:54 GMT 2024","Sun Sep 01 10:34:58 GMT 2024","3604","tests","Interactions","TestInteractions","","","Check prevent propagation properties of element",""
"passed","Sun Sep 01 10:32:51 GMT 2024","Sun Sep 01 10:32:53 GMT 2024","1688","tests","Alerts, Frames and Windows page","TestAlertsFrameWindows","","","Click modal and check its content",""
"passed","Sun Sep 01 10:35:44 GMT 2024","Sun Sep 01 10:35:46 GMT 2024","2340","tests","Widgets","TestWidgets","","","Click accordian and check its content",""
"broken","Sun Sep 01 10:35:34 GMT 2024","Sun Sep 01 10:35:39 GMT 2024","5304","tests","Practice form page","TestPracticeForm","","","Fill all fields",""
"passed","Sun Sep 01 10:36:11 GMT 2024","Sun Sep 01 10:36:14 GMT 2024","2998","tests","Widgets","TestWidgets","","","Move slider",""
"failed","Sun Sep 01 10:35:40 GMT 2024","Sun Sep 01 10:35:43 GMT 2024","3395","tests","Practice form page","TestPracticeForm","","","Fill mandatory fields only",""
"passed","Sun Sep 01 10:33:24 GMT 2024","Sun Sep 01 10:33:27 GMT 2024","3119","tests","Elements page","TestElements","","","Change amount of rows per page on web table page",""
"passed","Sun Sep 01 10:35:56 GMT 2024","Sun Sep 01 10:35:59 GMT 2024","2553","tests","Widgets","TestWidgets","","","Enter single color",""
"passed","Sun Sep 01 10:33:42 GMT 2024","Sun Sep 01 10:33:45 GMT 2024","2612","tests","Elements page","TestElements","","","Click broken links with not 200 OK response",""
"passed","Sun Sep 01 10:33:58 GMT 2024","Sun Sep 01 10:34:01 GMT 2024","2470","tests","Elements page","TestElements","","","Success file upload",""
"passed","Sun Sep 01 10:32:34 GMT 2024","Sun Sep 01 10:32:36 GMT 2024","2505","tests","Alerts, Frames and Windows page","TestAlertsFrameWindows","","","Send text value to alert",""
"passed","Sun Sep 01 10:33:02 GMT 2024","Sun Sep 01 10:33:05 GMT 2024","2593","tests","Elements page","TestElements","","","Click radio buttons",""
"passed","Sun Sep 01 10:33:12 GMT 2024","Sun Sep 01 10:33:15 GMT 2024","3703","tests","Elements page","TestElements","","","Add new person and search for it in web table",""
"passed","Sun Sep 01 10:32:55 GMT 2024","Sun Sep 01 10:32:58 GMT 2024","2894","tests","Elements page","TestElements","","","Fill text box fields",""
"passed","Sun Sep 01 10:33:27 GMT 2024","Sun Sep 01 10:33:29 GMT 2024","1578","tests","Elements page","TestElements","","","Perform double click",""
"passed","Sun Sep 01 10:34:25 GMT 2024","Sun Sep 01 10:34:29 GMT 2024","3897","tests","Interactions","TestInteractions","","","Change and check elements order",""
"passed","Sun Sep 01 10:32:59 GMT 2024","Sun Sep 01 10:33:02 GMT 2024","3363","tests","Elements page","TestElements","","","Enable random check boxes",""
"passed","Sun Sep 01 10:34:32 GMT 2024","Sun Sep 01 10:34:35 GMT 2024","2810","tests","Interactions","TestInteractions","","","Select and check selected elements",""
"passed","Sun Sep 01 10:34:04 GMT 2024","Sun Sep 01 10:34:07 GMT 2024","2315","tests","Elements page","TestElements","","","Click button that is clickable after 5 seconds",""
"passed","Sun Sep 01 10:33:50 GMT 2024","Sun Sep 01 10:33:53 GMT 2024","2549","tests","Elements page","TestElements","","","Click broken links with not 200 OK response",""
"passed","Sun Sep 01 10:36:37 GMT 2024","Sun Sep 01 10:36:41 GMT 2024","4605","tests","Widgets","TestWidgets","","","Hover tooltips and check their content",""
"passed","Sun Sep 01 10:33:08 GMT 2024","Sun Sep 01 10:33:11 GMT 2024","3019","tests","Elements page","TestElements","","","Add new person to web table",""
"passed","Sun Sep 01 10:32:53 GMT 2024","Sun Sep 01 10:32:55 GMT 2024","1605","tests","Alerts, Frames and Windows page","TestAlertsFrameWindows","","","Click modal and check its content",""
"passed","Sun Sep 01 10:33:45 GMT 2024","Sun Sep 01 10:33:46 GMT 2024","1480","tests","Elements page","TestElements","","","Click broken links with not 200 OK response",""
"passed","Sun Sep 01 10:33:32 GMT 2024","Sun Sep 01 10:33:34 GMT 2024","2336","tests","Elements page","TestElements","","","Perform dynamic click",""
"passed","Sun Sep 01 10:32:37 GMT 2024","Sun Sep 01 10:32:39 GMT 2024","2672","tests","Alerts, Frames and Windows page","TestAlertsFrameWindows","","","Send text value to alert",""
"passed","Sun Sep 01 10:32:45 GMT 2024","Sun Sep 01 10:32:47 GMT 2024","1939","tests","Alerts, Frames and Windows page","TestAlertsFrameWindows","","","Check frame and its content",""
"passed","Sun Sep 01 10:36:52 GMT 2024","Sun Sep 01 10:36:56 GMT 2024","4484","tests","Widgets","TestWidgets","","","Check menu elements",""
"passed","Sun Sep 01 10:35:53 GMT 2024","Sun Sep 01 10:35:56 GMT 2024","2991","tests","Widgets","TestWidgets","","","Enter several colors",""
"passed","Sun Sep 01 10:36:42 GMT 2024","Sun Sep 01 10:36:46 GMT 2024","4737","tests","Widgets","TestWidgets","","","Hover tooltips and check their content",""
"passed","Sun Sep 01 10:34:01 GMT 2024","Sun Sep 01 10:34:04 GMT 2024","2507","tests","Elements page","TestElements","","","Success file download",""
"passed","Sun Sep 01 10:35:03 GMT 2024","Sun Sep 01 10:35:08 GMT 2024","4360","tests","Interactions","TestInteractions","","","Check revert properties of will-not-revert-element",""
"passed","Sun Sep 01 10:35:59 GMT 2024","Sun Sep 01 10:36:03 GMT 2024","3743","tests","Widgets","TestWidgets","","","Set date via web calender widget",""
"passed","Sun Sep 01 10:34:22 GMT 2024","Sun Sep 01 10:34:25 GMT 2024","2394","tests","Interactions","TestInteractions","","","Change and check elements order",""
"passed","Sun Sep 01 10:34:07 GMT 2024","Sun Sep 01 10:34:15 GMT 2024","8382","tests","Elements page","TestElements","","","Check color of button whose color is changed after 5 seconds",""
"failed","Sun Sep 01 10:34:39 GMT 2024","Sun Sep 01 10:34:43 GMT 2024","3576","tests","Interactions","TestInteractions","","","Resize elements and check their sizes",""
"passed","Sun Sep 01 10:36:04 GMT 2024","Sun Sep 01 10:36:10 GMT 2024","6763","tests","Widgets","TestWidgets","","","Set date and time via web calender widget",""
"passed","Sun Sep 01 10:32:14 GMT 2024","Sun Sep 01 10:32:17 GMT 2024","2554","tests","Alerts, Frames and Windows page","TestAlertsFrameWindows","","","Click simple alert",""
"passed","Sun Sep 01 10:34:16 GMT 2024","Sun Sep 01 10:34:22 GMT 2024","6130","tests","Elements page","TestElements","","","Click button that is visible after 5 seconds",""
"passed","Sun Sep 01 10:34:30 GMT 2024","Sun Sep 01 10:34:32 GMT 2024","2035","tests","Interactions","TestInteractions","","","Select and check selected elements",""
"passed","Sun Sep 01 10:33:35 GMT 2024","Sun Sep 01 10:33:38 GMT 2024","3590","tests","Elements page","TestElements","","","Click simple link which opens in new tab",""
"passed","Sun Sep 01 10:33:29 GMT 2024","Sun Sep 01 10:33:32 GMT 2024","2620","tests","Elements page","TestElements","","","Perform right click",""
"passed","Sun Sep 01 10:32:31 GMT 2024","Sun Sep 01 10:32:33 GMT 2024","2357","tests","Alerts, Frames and Windows page","TestAlertsFrameWindows","","","Send text value to alert",""
"passed","Sun Sep 01 10:32:48 GMT 2024","Sun Sep 01 10:32:51 GMT 2024","3057","tests","Alerts, Frames and Windows page","TestAlertsFrameWindows","","","Check parent and child frames and their content",""
"passed","Sun Sep 01 10:36:29 GMT 2024","Sun Sep 01 10:36:31 GMT 2024","2295","tests","Widgets","TestWidgets","","","Click tabs and check their content",""
"passed","Sun Sep 01 10:33:39 GMT 2024","Sun Sep 01 10:33:42 GMT 2024","2576","tests","Elements page","TestElements","","","Click broken links with not 200 OK response",""
"passed","Sun Sep 01 10:36:47 GMT 2024","Sun Sep 01 10:36:51 GMT 2024","4600","tests","Widgets","TestWidgets","","","Hover tooltips and check their content",""
"passed","Sun Sep 01 10:32:17 GMT 2024","Sun Sep 01 10:32:25 GMT 2024","7719","tests","Alerts, Frames and Windows page","TestAlertsFrameWindows","","","Click alert that appears after 5 seconds",""
"passed","Sun Sep 01 10:36:31 GMT 2024","Sun Sep 01 10:36:36 GMT 2024","4757","tests","Widgets","TestWidgets","","","Hover tooltips and check their content",""
"passed","Sun Sep 01 10:33:16 GMT 2024","Sun Sep 01 10:33:19 GMT 2024","3715","tests","Elements page","TestElements","","","Add new person and update it in web table",""
"passed","Sun Sep 01 10:32:28 GMT 2024","Sun Sep 01 10:32:31 GMT 2024","2655","tests","Alerts, Frames and Windows page","TestAlertsFrameWindows","","","Dismiss alert",""
"passed","Sun Sep 01 10:36:14 GMT 2024","Sun Sep 01 10:36:22 GMT 2024","8241","tests","Widgets","TestWidgets","","","Click and stop progress bar",""
"passed","Sun Sep 01 10:33:55 GMT 2024","Sun Sep 01 10:33:58 GMT 2024","2678","tests","Elements page","TestElements","","","Click broken links with not 200 OK response",""
"passed","Sun Sep 01 10:32:25 GMT 2024","Sun Sep 01 10:32:27 GMT 2024","2290","tests","Alerts, Frames and Windows page","TestAlertsFrameWindows","","","Confirm alert",""
"passed","Sun Sep 01 10:34:43 GMT 2024","Sun Sep 01 10:34:46 GMT 2024","2960","tests","Interactions","TestInteractions","","","Drop simple element",""
"passed","Sun Sep 01 10:34:59 GMT 2024","Sun Sep 01 10:35:03 GMT 2024","4394","tests","Interactions","TestInteractions","","","Check revert properties of will-revert-element",""
"passed","Sun Sep 01 10:36:26 GMT 2024","Sun Sep 01 10:36:28 GMT 2024","2480","tests","Widgets","TestWidgets","","","Click tabs and check their content",""
