"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Sep 01 10:27:55 GMT 2024","Sun Sep 01 10:28:00 GMT 2024","4208","tests","Widgets","TestWidgets","","","Hover tooltips and check their content",""
"passed","Sun Sep 01 10:28:00 GMT 2024","Sun Sep 01 10:28:05 GMT 2024","4540","tests","Widgets","TestWidgets","","","Hover tooltips and check their content",""
"passed","Sun Sep 01 10:27:10 GMT 2024","Sun Sep 01 10:27:13 GMT 2024","2574","tests","Widgets","TestWidgets","","","Enter single color",""
"passed","Sun Sep 01 10:27:36 GMT 2024","Sun Sep 01 10:27:39 GMT 2024","2472","tests","Widgets","TestWidgets","","","Click tabs and check their content",""
"passed","Sun Sep 01 10:28:05 GMT 2024","Sun Sep 01 10:28:09 GMT 2024","4446","tests","Widgets","TestWidgets","","","Check menu elements",""
"passed","Sun Sep 01 10:27:45 GMT 2024","Sun Sep 01 10:27:49 GMT 2024","4445","tests","Widgets","TestWidgets","","","Hover tooltips and check their content",""
"failed","Sun Sep 01 10:27:13 GMT 2024","Sun Sep 01 10:27:16 GMT 2024","3016","tests","Widgets","TestWidgets","","","Set date via web calender widget",""
"passed","Sun Sep 01 10:27:28 GMT 2024","Sun Sep 01 10:27:36 GMT 2024","7335","tests","Widgets","TestWidgets","","","Click and stop progress bar",""
"passed","Sun Sep 01 10:24:44 GMT 2024","Sun Sep 01 10:24:47 GMT 2024","3027","tests","Widgets","TestWidgets","","","Click accordian and check its content",""
"failed","Sun Sep 01 10:27:42 GMT 2024","Sun Sep 01 10:27:45 GMT 2024","2425","tests","Widgets","TestWidgets","","","Click tabs and check their content",""
"passed","Sun Sep 01 10:24:50 GMT 2024","Sun Sep 01 10:27:06 GMT 2024","135963","tests","Widgets","TestWidgets","","","Click accordian and check its content which contains several paragraphs",""
"passed","Sun Sep 01 10:27:07 GMT 2024","Sun Sep 01 10:27:10 GMT 2024","3131","tests","Widgets","TestWidgets","","","Enter several colors",""
"passed","Sun Sep 01 10:24:47 GMT 2024","Sun Sep 01 10:24:50 GMT 2024","2856","tests","Widgets","TestWidgets","","","Click accordian and check its content",""
"passed","Sun Sep 01 10:27:25 GMT 2024","Sun Sep 01 10:27:28 GMT 2024","3219","tests","Widgets","TestWidgets","","","Move slider",""
"passed","Sun Sep 01 10:27:39 GMT 2024","Sun Sep 01 10:27:42 GMT 2024","2554","tests","Widgets","TestWidgets","","","Click tabs and check their content",""
"broken","Sun Sep 01 10:27:17 GMT 2024","Sun Sep 01 10:27:24 GMT 2024","7559","tests","Widgets","TestWidgets","","","Set date and time via web calender widget",""
"passed","Sun Sep 01 10:27:50 GMT 2024","Sun Sep 01 10:27:55 GMT 2024","5152","tests","Widgets","TestWidgets","","","Hover tooltips and check their content",""
