"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Sat Aug 31 10:44:49 GMT 2024","Sat Aug 31 10:44:49 GMT 2024","0","tests","Widgets","TestWidgets","","","test_tooltips",""
"broken","Sat Aug 31 10:44:47 GMT 2024","Sat Aug 31 10:44:47 GMT 2024","0","tests","Widgets","TestWidgets","","","test_click_tabs[use-Use-613]",""
"broken","Sat Aug 31 10:44:44 GMT 2024","Sat Aug 31 10:44:44 GMT 2024","0","tests","Widgets","TestWidgets","","","test_set_date",""
"broken","Sat Aug 31 10:44:46 GMT 2024","Sat Aug 31 10:44:46 GMT 2024","0","tests","Widgets","TestWidgets","","","test_click_tabs[origin-Origin-1059]",""
"broken","Sat Aug 31 10:44:48 GMT 2024","Sat Aug 31 10:44:48 GMT 2024","0","tests","Widgets","TestWidgets","","","test_tooltips[word-You hovered over the Contrary]",""
"broken","Sat Aug 31 10:44:42 GMT 2024","Sat Aug 31 10:44:42 GMT 2024","0","tests","Widgets","TestWidgets","","","test_accordian_with_one_paragraph[third-Why do we use it?-613]",""
"broken","Sat Aug 31 10:44:44 GMT 2024","Sat Aug 31 10:44:44 GMT 2024","0","tests","Widgets","TestWidgets","","","test_set_date_and_time",""
"broken","Sat Aug 31 10:44:41 GMT 2024","Sat Aug 31 10:44:41 GMT 2024","0","tests","Widgets","TestWidgets","","","test_accordian_with_one_paragraph[first-What is Lorem Ipsum?-574]",""
"broken","Sat Aug 31 10:44:47 GMT 2024","Sat Aug 31 10:44:47 GMT 2024","0","tests","Widgets","TestWidgets","","","test_tooltips[field-You hovered over the text field]",""
"broken","Sat Aug 31 10:44:43 GMT 2024","Sat Aug 31 10:44:43 GMT 2024","0","tests","Widgets","TestWidgets","","","test_multiple_colors_autocomplete",""
"broken","Sat Aug 31 10:44:45 GMT 2024","Sat Aug 31 10:44:45 GMT 2024","0","tests","Widgets","TestWidgets","","","test_move_slider",""
"broken","Sat Aug 31 10:44:43 GMT 2024","Sat Aug 31 10:44:43 GMT 2024","0","tests","Widgets","TestWidgets","","","test_single_color_autocomplete",""
"broken","Sat Aug 31 10:44:46 GMT 2024","Sat Aug 31 10:44:46 GMT 2024","0","tests","Widgets","TestWidgets","","","test_click_tabs[what-What-574]",""
"broken","Sat Aug 31 10:44:47 GMT 2024","Sat Aug 31 10:44:47 GMT 2024","0","tests","Widgets","TestWidgets","","","test_tooltips[button-You hovered over the Button]",""
"broken","Sat Aug 31 10:44:45 GMT 2024","Sat Aug 31 10:44:45 GMT 2024","0","tests","Widgets","TestWidgets","","","test_progress_bar",""
"broken","Sat Aug 31 10:44:48 GMT 2024","Sat Aug 31 10:44:48 GMT 2024","0","tests","Widgets","TestWidgets","","","test_tooltips[number-You hovered over the 1.10.32]",""
"broken","Sat Aug 31 10:44:42 GMT 2024","Sat Aug 31 10:44:42 GMT 2024","0","tests","Widgets","TestWidgets","","","test_accordian_with_several_paragraphs",""
